"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"","","","","","","","","","","","","","","","","","","","","","","","","","Confusion","Psychic","15","Poison Fang","Poison","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"050","Diglett","Generation I","Diglett are raised in most farms. The reason is simple—wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.","Ground","","Electric","Poison","Rock","","","","","","","","","","Water","Grass","Ice","","","","","Mud Slap","Ground","15","Dig","Ground","70","0.7kg","0.9kg","0.18m","0.23m","3km (Medium)","20 stamina points.","109 attack points.","88 defense points.","10% chance to flee.","","","","","","","","","","","50","Diglett candies","51","Dugtrio","365","456"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Mud Bomb","Ground","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Tomb","Rock","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"051","Dugtrio","Generation I","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.","Ground","","Electric","Poison","Rock","","","","","","","","","","Water","Grass","Ice","","","","","Mud Slap","Ground","15","Earthquake","Ground","100","29.14kg","37.46kg","0.61m","0.79m","3km (Big)","70 stamina points.","167 attack points.","147 defense points.","6% chance to flee.","","","","","","","","","50","Diglett","","","","","1038","1168"
"","","","","","","","","","","","","","","","","","","","","","","","","","Sucker Punch","Dark","7","Mud Bomb","Ground","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"052","Meowth","Generation I","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Bite","Dark","6","Body Slam","Normal","40","3.67kg","4.72kg","0.35m","0.45m","3km (Medium)","80 stamina points.","92 attack points.","81 defense points.","15% chance to flee.","","","","","","","","","","","50","Meowth candies","53","Persian","656","756"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Dark Pulse","Dark","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Night Slash","Dark","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"053","Persian","Generation I","Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Feint Attack","Dark","12","Night Slash","Dark","30","28kg","36kg","0.88m","1.13m","3km (Medium)","130 stamina points.","150 attack points.","139 defense points.","7% chance to flee.","","","","","","","","","52","Meowth","","","","","1483","1631"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Play Rough","Fairy","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Power Gem","Rock","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"054","Psyduck","Generation I","Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Water Gun","Water","6","Aqua Tail","Water","45","17.15kg","22.05kg","0.7m","0.9m","3km (Medium)","100 stamina points.","122 attack points.","96 defense points.","10% chance to flee.","","","","","","","","","","","50","Psyduck candies","55","Golduck","987","1109"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Cross Chop","Fighting","60","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psybeam","Psychic","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"055","Golduck","Generation I","The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. The Pokémon is definitely much faster than even the most athletic swimmer.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Confusion","Psychic","15","Hydro Pump","Water","90","67.02kg","86.17kg","1.49m","1.91m","3km (Big)","160 stamina points.","191 attack points.","163 defense points.","6% chance to flee.","","","","","","","","","54","Psyduck","","","","","2206","2386"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Ice Beam","Ice","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"056","Mankey","Generation I","When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Karate Chop","Fighting","6","Brick Break","Fighting","30","24.5kg","31.5kg","0.44m","0.56m","3km (Medium)","80 stamina points.","148 attack points.","87 defense points.","10% chance to flee.","","","","","","","","","","","50","Mankey candies","57","Primeape","769","878"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Cross Chop","Fighting","60","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Low Sweep","Fighting","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"057","Primeape","Generation I","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Karate Chop","Fighting","6","Cross Chop","Fighting","60","28kg","36kg","0.88m","1.13m","3km (Big)","130 stamina points.","207 attack points.","144 defense points.","6% chance to flee.","","","","","","","","","56","Mankey","","","","","1704","1864"
"","","","","","","","","","","","","","","","","","","","","","","","","","Low Kick","Fighting","5","Low Sweep","Fighting","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Night Slash","Dark","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"058","Growlithe","Generation I","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Bite","Dark","6","Body Slam","Normal","40","16.63kg","21.38kg","0.61m","0.79m","3km (Medium)","110 stamina points.","136 attack points.","96 defense points.","10% chance to flee.","","","","","","","","","","","50","Growlithe candies","59","Arcanine","1199","1335"
"","","","","","","","","","","","","","","","","","","","","","","","","","Ember","Fire","10","Flame Wheel","Fire","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"059","Arcanine","Generation I","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Bite","Dark","6","Bulldoze","Ground","35","135.63kg","174.38kg","1.66m","2.14m","3km (Big)","180 stamina points.","227 attack points.","166 defense points.","6% chance to flee.","","","","","","","","","58","Growlithe","","","","","2781","2983"
"","","","","","","","","","","","","","","","","","","","","","","","","","Fire Fang","Fire","10","Fire Blast","Fire","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"060","Poliwag","Generation I","Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Bubble","Water","25","Body Slam","Normal","40","10.85kg","13.95kg","0.53m","0.68m","3km (Medium)","80 stamina points.","101 attack points.","82 defense points.","15% chance to flee.","","","","","","","","","","","25","Poliwag candies","61","Poliwhirl","693","795"
"","","","","","","","","","","","","","","","","","","","","","","","","","Mud Shot","Ground","6","Bubble Beam","Water","30","","","","","","","","","","","","","","","","","","","","","","62","Poliwrath","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mud Bomb","Ground","30","","","","","","","","","","","","","","","","","","","","","","186","Politoed","",""
"061","Poliwhirl","Generation I","The surface of Poliwhirl's body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Bubble","Water","25","Bubble Beam","Water","30","17.5kg","22.5kg","0.88m","1.13m","3km (Big)","130 stamina points.","130 attack points.","130 defense points.","7% chance to flee.","","","","","","","","","60","Poliwag","100","Poliwag candies","62","Poliwrath","1206","1340"
"","","","","","","","","","","","","","","","","","","","","","","","","","Mud Shot","Ground","6","Mud Bomb","Ground","30","","","","","","","","","","","","","","","","","","","","","","186","Politoed","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scald","Water","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"062","Poliwrath","Generation I","Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.","Water","Fighting","Fire","Water","Ice","Bug","Rock","Dark","Steel","","","","","","Electric","Grass","Flying","Psychic","Fairy","","","Bubble","Water","25","Hydro Pump","Water","90","47.25kg","60.75kg","1.14m","1.46m","3km (Big)","180 stamina points.","182 attack points.","187 defense points.","5% chance to flee.","","","","","","","","","60","Poliwag","","","","","2321","2505"
"","","","","","","","","","","","","","","","","","","","","","","","","","Mud Shot","Ground","6","Ice Punch","Ice","45","","","","","","","","","","","","","","","","","","61","Poliwhirl","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Submission","Fighting","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"063","Abra","Generation I","Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Zen Headbutt","Psychic","12","Psyshock","Psychic","40","17.06kg","21.94kg","0.79m","1.01m","3km (Medium)","50 stamina points.","195 attack points.","103 defense points.","99% chance to flee.","","","","","","","","","","","25","Abra candies","64","Kadabra","508","600"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","65","Alakazam","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Signal Beam","Bug","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"064","Kadabra","Generation I","Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a trainer of this Pokémon.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Confusion","Psychic","15","Dazzling Gleam","Fairy","55","49.44kg","63.56kg","1.14m","1.46m","3km (Big)","80 stamina points.","232 attack points.","138 defense points.","7% chance to flee.","","","","","","","","","63","Abra","100","Abra candies","65","Alakazam","1005","1131"
"","","","","","","","","","","","","","","","","","","","","","","","","","Psycho Cut","Psychic","7","Psybeam","Psychic","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"065","Alakazam","Generation I","Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Confusion","Psychic","15","Dazzling Gleam","Fairy","55","42kg","54kg","1.31m","1.69m","3km (Big)","110 stamina points.","271 attack points.","194 defense points.","5% chance to flee.","","","","","","","","","63","Abra","","","","","1654","1813"
"","","","","","","","","","","","","","","","","","","","","","","","","","Psycho Cut","Psychic","7","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","64","Kadabra","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"066","Machop","Generation I","Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Karate Chop","Fighting","6","Brick Break","Fighting","30","17.06kg","21.94kg","0.7m","0.9m","3km (Medium)","140 stamina points.","137 attack points.","88 defense points.","10% chance to flee.","","","","","","","","","","","25","Machop candies","67","Machoke","968","1089"
"","","","","","","","","","","","","","","","","","","","","","","","","","Low Kick","Fighting","5","Cross Chop","Fighting","60","","","","","","","","","","","","","","","","","","","","","","68","Machamp","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Low Sweep","Fighting","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"067","Machoke","Generation I","Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Karate Chop","Fighting","6","Brick Break","Fighting","30","61.69kg","79.31kg","1.31m","1.69m","3km (Big)","160 stamina points.","177 attack points.","130 defense points.","7% chance to flee.","","","","","","","","","66","Machop","100","Machop candies","68","Machamp","1606","1760"
"","","","","","","","","","","","","","","","","","","","","","","","","","Low Kick","Fighting","5","Cross Chop","Fighting","60","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Submission","Fighting","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"068","Machamp","Generation I","Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.","Fighting","","Bug","Rock","Dark","","","","","","","","","","Flying","Psychic","Fairy","","","","","Bullet Punch","Steel","10","Cross Chop","Fighting","60","113.75kg","146.25kg","1.4m","1.8m","3km (Big)","180 stamina points.","234 attack points.","162 defense points.","5% chance to flee.","","","","","","","","","66","Machop","","","","","2406","2594"
"","","","","","","","","","","","","","","","","","","","","","","","","","Karate Chop","Fighting","6","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","67","Machoke","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Submission","Fighting","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"069","Bellsprout","Generation I","Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Acid","Poison","10","Power Whip","Grass","70","3.5kg","4.5kg","0.61m","0.79m","3km (Medium)","100 stamina points.","139 attack points.","64 defense points.","15% chance to flee.","","","","","","","","","","","25","Bellsprout candies","70","Weepinbell","990","1117"
"","","","","","","","","","","","","","","","","","","","","","","","","","Vine Whip","Grass","7","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","71","Victreebel","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wrap","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"070","Weepinbell","Generation I","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Acid","Poison","10","Power Whip","Grass","70","5.6kg","7.2kg","0.88m","1.13m","3km (Big)","130 stamina points.","172 attack points.","95 defense points.","7% chance to flee.","","","","","","","","","69","Bellsprout","100","Bellsprout candies","71","Victreebel","1567","1723"
"","","","","","","","","","","","","","","","","","","","","","","","","","Razor Leaf","Grass","15","Seed Bomb","Grass","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"071","Victreebel","Generation I","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Acid","Poison","10","Leaf Blade","Grass","55","13.56kg","17.44kg","1.49m","1.91m","3km (Big)","160 stamina points.","207 attack points.","138 defense points.","5% chance to flee.","","","","","","","","","69","Bellsprout","","","","","2342","2530"
"","","","","","","","","","","","","","","","","","","","","","","","","","Razor Leaf","Grass","15","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","70","Weepinbell","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"072","Tentacool","Generation I","Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea.","Water","Poison","Fire","Water","Ice","Fighting","Poison","Bug","Steel","Fairy","","","","","Electric","Ground","Psychic","","","","","Bubble","Water","25","Bubble Beam","Water","30","39.81kg","51.19kg","0.79m","1.01m","3km (Medium)","80 stamina points.","97 attack points.","182 defense points.","15% chance to flee.","","","","","","","","","","","50","Tentacool candies","73","Tentacruel","794","905"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Sting","Poison","6","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wrap","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"073","Tentacruel","Generation I","Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it.","Water","Poison","Fire","Water","Ice","Fighting","Poison","Bug","Steel","Fairy","","","","","Electric","Ground","Psychic","","","","","Acid","Poison","10","Blizzard","Ice","100","48.13kg","61.88kg","1.4m","1.8m","3km (Big)","160 stamina points.","166 attack points.","237 defense points.","7% chance to flee.","","","","","","","","","72","Tentacool","","","","","2046","2220"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Wave","Poison","70","","","","","","","","","","","","","","","","","","","","","","","","",""
"074","Geodude","Generation I","The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.","Rock","Ground","Normal","Fire","Electric","Poison","Flying","Rock","","","","","","","Water","Grass","Ice","Fighting","Ground","Steel","","Rock Throw","Rock","12","Dig","Ground","70","17.5kg","22.5kg","0.35m","0.45m","1km (Medium)","80 stamina points.","132 attack points.","163 defense points.","10% chance to flee.","","","","","","","","","","","25","Geodude candies","75","Graveler","742","849"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Rock Slide","Rock","50","","","","","","","","","","","","","","","","","","","","","","76","Golem","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Tomb","Rock","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"075","Graveler","Generation I","Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.","Rock","Ground","Normal","Fire","Electric","Poison","Flying","Rock","","","","","","","Water","Grass","Ice","Fighting","Ground","Steel","","Mud Slap","Ground","15","Dig","Ground","70","91.88kg","118.13kg","0.88m","1.13m","1km (Big)","110 stamina points.","164 attack points.","196 defense points.","7% chance to flee.","","","","","","","","","74","Geodude","100","Geodude candies","76","Golem","1294","1433"
"","","","","","","","","","","","","","","","","","","","","","","","","","Rock Throw","Rock","12","Rock Slide","Rock","50","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"076","Golem","Generation I","Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below.","Rock","Ground","Normal","Fire","Electric","Poison","Flying","Rock","","","","","","","Water","Grass","Ice","Fighting","Ground","Steel","","Mud Slap","Ground","15","Ancient Power","Rock","35","262.5kg","337.5kg","1.22m","1.57m","1km (Big)","160 stamina points.","211 attack points.","229 defense points.","5% chance to flee.","","","","","","","","","74","Geodude","","","","","2126","2303"
"","","","","","","","","","","","","","","","","","","","","","","","","","Rock Throw","Rock","12","Earthquake","Ground","100","","","","","","","","","","","","","","","","","","75","Graveler","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"077","Ponyta","Generation I","Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Fire Blast","Fire","100","26.25kg","33.75kg","0.88m","1.13m","3km (Medium)","100 stamina points.","170 attack points.","132 defense points.","10% chance to flee.","","","","","","","","","","","50","Ponyta candies","78","Rapidash","1370","1516"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Flame Charge","Fire","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flame Wheel","Fire","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"078","Rapidash","Generation I","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Drill Run","Ground","50","83.13kg","106.88kg","1.49m","1.91m","3km (Big)","130 stamina points.","207 attack points.","167 defense points.","6% chance to flee.","","","","","","","","","77","Ponyta","","","","","2024","2199"
"","","","","","","","","","","","","","","","","","","","","","","","","","Low Kick","Fighting","5","Fire Blast","Fire","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Heat Wave","Fire","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"079","Slowpoke","Generation I","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.","Water","Psychic","Fire","Water","Ice","Fighting","Psychic","Steel","","","","","","","Electric","Grass","Bug","Ghost","Dark","","","Confusion","Psychic","15","Psychic","Psychic","55","31.5kg","40.5kg","1.05m","1.35m","3km (Medium)","180 stamina points.","109 attack points.","109 defense points.","10% chance to flee.","","","","","","","","","","","50","Slowpoke candies","80","Slowbro","1089","1218"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Psyshock","Psychic","40","","","","","","","","","","","","","","","","","","","","","","199","Slowking","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"080","Slowbro","Generation I","Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.","Water","Psychic","Fire","Water","Ice","Fighting","Psychic","Steel","","","","","","","Electric","Grass","Bug","Ghost","Dark","","","Confusion","Psychic","15","Ice Beam","Ice","65","68.69kg","88.31kg","1.4m","1.8m","3km (Big)","190 stamina points.","177 attack points.","194 defense points.","6% chance to flee.","","","","","","","","","79","Slowpoke","","","","","2409","2597"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"081","Magnemite","Generation I","Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box.","Electric","Steel","Normal","Electric","Grass","Ice","Poison","Flying","Psychic","Bug","Rock","Dragon","Steel","Fairy","Fire","Fighting","Ground","","","","","Spark","Electric","7","Discharge","Electric","35","5.25kg","6.75kg","0.26m","0.34m","3km (Flying)","50 stamina points.","165 attack points.","128 defense points.","10% chance to flee.","","","","","","","","","","","50","Magnemite candies","82","Magneton","774","890"
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Magnet Bomb","Steel","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"082","Magneton","Generation I","Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon.","Electric","Steel","Normal","Electric","Grass","Ice","Poison","Flying","Psychic","Bug","Rock","Dragon","Steel","Fairy","Fire","Fighting","Ground","","","","","Spark","Electric","7","Discharge","Electric","35","52.5kg","67.5kg","0.88m","1.13m","3km (Big)","100 stamina points.","223 attack points.","182 defense points.","6% chance to flee.","","","","","","","","","81","Magnemite","","","","","1715","1879"
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Flash Cannon","Steel","60","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Magnet Bomb","Steel","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"083","Farfetchd","Generation I","Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.","Normal","Flying","Grass","Ground","Bug","Ghost","","","","","","","","","Electric","Ice","Rock","","","","","Cut","Normal","12","Aerial Ace","Flying","30","13.13kg","16.88kg","0.7m","0.9m","3km (Medium)","104 stamina points.","124 attack points.","118 defense points.","9% chance to flee.","","","","Early reports that this Pokèmon is likely to be found in: Asia or hatched from an Egg in that geographic area.","","","","Common Capture Area","","","","","","","1133","1263"
"","","","","","","","","","","","","","","","","","","","","","","","","","Fury Cutter","Bug","3","Air Cutter","Flying","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leaf Blade","Grass","55","","","","","","","","","","","","","","","","","","","","","","","","",""
